Date,GLD_adj,GDX_adj
2010-01-04,109.80000305175781,41.39030838012695
2010-01-05,109.69999694824219,41.78937911987305
2010-01-06,111.51000213623047,42.80440139770508
2010-01-07,110.81999969482422,42.59617614746094
2010-01-08,111.37000274658203,43.2381706237793
2010-01-11,112.8499984741211,43.52445983886719
2010-01-12,110.48999786376953,41.945533752441406
2010-01-13,111.54000091552734,42.38798141479492
2010-01-14,112.02999877929688,42.16241455078125
2010-01-15,110.86000061035156,41.13872528076172
2010-01-19,111.5199966430664,41.372962951660156
2010-01-20,108.94000244140625,39.67258834838867
2010-01-21,107.37000274658203,37.9548454284668
2010-01-22,107.16999816894531,37.98955535888672
2010-01-25,107.4800033569336,37.46902847290039
2010-01-26,107.55999755859375,37.41698455810547
2010-01-27,106.52999877929688,37.10466003417969
2010-01-28,106.4800033569336,36.584136962890625
2010-01-29,105.95999908447266,35.32621383666992
2010-02-01,108.3499984741211,37.25214385986328
2010-02-02,109.12999725341797,37.30419921875
2010-02-03,108.69999694824219,36.931156158447266
2010-02-04,104.37000274658203,34.909793853759766
2010-02-05,104.68000030517578,36.79235076904297
2010-02-08,104.04000091552734,35.37825393676758
2010-02-09,105.41000366210938,36.931156158447266
2010-02-10,105.12000274658203,36.74028778076172
2010-02-11,107.12999725341797,38.16305923461914
2010-02-12,107.04000091552734,38.119686126708984
2010-02-16,109.62000274658203,38.96120071411133
2010-02-17,109.25,38.78768539428711
2010-02-18,109.9800033569336,39.09133529663086
2010-02-19,109.47000122070312,38.666236877441406
2010-02-22,109.06999969482422,38.24981689453125
2010-02-23,107.88999938964844,36.870426177978516
2010-02-24,107.36000061035156,36.653541564941406
2010-02-25,108.30999755859375,37.69459533691406
2010-02-26,109.43000030517578,38.0763053894043
2010-03-01,109.43000030517578,38.72696304321289
2010-03-02,111.0199966430664,39.48172378540039
2010-03-03,111.62999725341797,40.21913528442383
2010-03-04,110.83000183105469,39.54245376586914
2010-03-05,110.80999755859375,40.27986145019531
2010-03-08,109.87999725341797,39.86344528198242
2010-03-09,109.72000122070312,39.54245376586914
2010-03-10,108.47000122070312,39.00457763671875
2010-03-11,108.5999984741211,39.31688690185547
2010-03-12,107.94999694824219,39.03060531616211
2010-03-15,108.36000061035156,38.98722457885742
2010-03-16,110.4000015258789,40.01092529296875
2010-03-17,109.58999633789062,40.14105224609375
2010-03-18,110.33999633789062,39.880794525146484
2010-03-19,108.27999877929688,39.30821228027344
2010-03-22,107.75,39.160728454589844
2010-03-23,108.31999969482422,39.28219223022461
2010-03-24,106.30000305175781,37.737972259521484
2010-03-25,106.77999877929688,37.22612762451172
2010-03-26,108.58999633789062,37.92014694213867
2010-03-29,108.75,38.4580192565918
2010-03-30,107.97000122070312,38.050289154052734
2010-03-31,108.94999694824219,38.52743148803711
2010-04-01,110.26000213623047,40.25383377075195
2010-04-05,110.88999938964844,40.68760681152344
2010-04-06,111.02999877929688,40.60952377319336
2010-04-07,112.48999786376953,41.79806137084961
2010-04-08,112.6500015258789,41.806724548339844
2010-04-09,113.63999938964844,42.23181915283203
2010-04-12,113.01000213623047,41.76334762573242
2010-04-13,112.69000244140625,41.42501449584961
2010-04-14,113.02999877929688,41.7199821472168
2010-04-15,113.6500015258789,41.26884841918945
2010-04-16,111.23999786376953,40.47071838378906
2010-04-19,111.1500015258789,40.41866683959961
2010-04-20,111.45999908447266,40.305885314941406
2010-04-21,112.30999755859375,40.75700759887695
2010-04-22,111.83999633789062,41.086673736572266
2010-04-23,113.19000244140625,41.82408142089844
2010-04-26,112.75,41.754676818847656
2010-04-27,114.62999725341797,41.884803771972656
2010-04-28,114.30999755859375,43.1167106628418
2010-04-29,114.27999877929688,43.64591979980469
2010-04-30,115.36000061035156,43.81942367553711
2010-05-03,115.7300033569336,43.27287673950195
2010-05-04,114.87000274658203,43.08201599121094
2010-05-05,115.08999633789062,42.717647552490234
2010-05-06,118.48999786376953,43.32492446899414
2010-05-07,118.2699966430664,42.62221145629883
2010-05-10,117.56999969482422,43.49843215942383
2010-05-11,120.66000366210938,46.5001220703125
2010-05-12,121.4000015258789,46.352630615234375
2010-05-13,120.55999755859375,45.684635162353516
2010-05-14,120.37000274658203,46.10972213745117
2010-05-17,119.36000061035156,44.99927520751953
2010-05-18,119.48999786376953,44.66960906982422
2010-05-19,116.62999725341797,42.89982986450195
2010-05-20,115.83999633789062,40.81773376464844
2010-05-21,115.22000122070312,40.95654296875
